Emirate,Police Station,Year,Month,Date,City,Road,Report Number,Day,Week,Report type,Reasons,Computed,Streets,Street,Place,Location,lighting,Weather,Road surface,Intersection,Accident Type,Nationalities,Seat Belt,Injured person position,Injured person's seat,Degree of the injury,Age of the injured,Gender,Gender of the injured,Inp Age,Age Group,Date - Month,Nationality of the Injured person,Day,Iac Rep Time,Time,Age Group - Ministry,Computed2,Area,Block,Str Code,Accident Description,Location,Fasten seat belt,Road speed limit,Pedestrian action,Number of Lanes,
Abu Dhabi,Khaldiya Police Station,2011,January,22-01-11,Abu Dhabi,Internal road,100110001940,22,Fourth week,Traffic accident with injuries,Bypassing the red traffic light,1,IP33B IntersectionFalah - Arabian Gulf,IP33B IntersectionFalah - Arabian Gulf,School,Intersection,night - enough lights,rainy,wet,Not on or around 20 meters,Reciprocal collision,Sudan,Y,Driver,Driver's seat,Minor,56,M,Male,56,46 to 60 years,Jan,Arab States,Saturday,1:40,PM,46 to 60 years,1,Al Butain,Block 74-2,157,"3864.                   After detection and inspecting the accident site, the following became clear: The first causing vehicle was coming from the west towards the east and would like to turn left and the second causing vehicle is coming from the east towards the west, because of one of the cars passed the red light, the front of the first causing vehicle hit the front of the second causing car. Thus, the accident occurred.",Al-Bateen area near Al-Quds School,Yes,60,None,4,
Abu Dhabi,Al Madina Police Station,2011,January,22-01-11,Abu Dhabi,Internal road,100110002020,22,Fourth week,Traffic accident with injuries,Misuse of traffic,1,Street Hamdan Bin Mohamed(5),Street Hamdan Bin Mohamed(5),Commercial area,Two-way road,day,rainy,wet,Half Perpendicular Intersection,Person run over,Bangladesh,N,Pedestrian,No passenger,Moderate,45,F,Female,45,31 to 45 years,Jan,Asian States,Saturday,8:51,AM,31 to 45 years,1,Markaziya,Block 52-1,26,"3865.                   After detection and inspecting the accident site, the following became clear: The first causing vehicle was coming from the south towards the north and wanted to turn to reverse the direction and while it was turning it happened to be the one who was hit from the west towards the east passing through a residential and commercial area on a secondary street of Hamdan Street. The vehicle causing its front was run over from the left side. The accident resulted in a traumatized injury with a moderate injury. She received treatment and left the hospital in a moderate condition. Examination of the accident site","Side Street off Hamdan Street behind Al-Ahly Hospital, near Jamila Supermarket",No,40,"Cross, there's no crosswalk",1,
Abu Dhabi,Shaabiya Police Station,2011,January,23-01-11,Abu Dhabi,Internal road,100110002060,23,Fourth week,Traffic accident with injuries,Driving back without traffic clearance,1,Street Delma(13),Street Delma(13),School,Double road,day,clear,Dry,Turn ,Rear collision,Hungary,Y,Driver,Driver's seat,Minor,40,F,Female,40,31 to 45 years,Jan,Other,Sunday,13:50,PM,31 to 45 years,1,Al Wahda,Block 16-1,22,"3866.                   After detection and inspection by the accident chart, it became clear as follows: -The causing vehicle is clearing the far-left lane and the first damaged vehicle is turning from the hatch on the island and the second damaged vehicle is in a permanent stop. Because of the reason that the causing vehicle is returning without attention, its rear collided with the front left corner of the first damaged vehicle, which led to its deflection and collision with its front end on the pavement Then the left side of the second damaged vehicle, which was in a final stop, and on the side of the chart, the accident occurred","Delma Street, opposite Zayed University, Side Road 16",Yes,40,None,2,
Abu Dhabi,Khaldiya Police Station,2011,January,24-01-11,Abu Dhabi,Internal road,100110002120,24,Fourth week,Traffic accident with injuries,Not leaving enough space,1,Street Kaser Al Amwaj (Marina Mall),Street Kaser Al Amwaj (Marina Mall),Commercial area,Double road,night - enough lights,clear,Dry,Not on or around 20 meters,Rear collision,UAE,N,Passenger,Back passenger seat,Minor,13,M,Male,13,8 to 17 years,Jan,UAE,Monday,20:30,PM,Below 18 years,1,Kaser Al Amwaj,Not identified,88,"3867.                   After detection and inspecting the accident site, the following accident chart became clear: The vehicles are coming from the direction of north towards the south, while the vehicles were moving, the two damaged vehicles stopped in the right-hand drive line and the advent of the causing vehicle from the rear, because of the failure to leave enough space between the vehicles by the offending driver, the front of the causing vehicle collided at the rear of the first damaged vehicle, which led to the first damaged vehicle to collide In the front, at the rear of the second damaged vehicle, the accident was charted.",Alkasir Street - Marina Side,No,40,None,2,
Abu Dhabi,Khaldiya Police Station,2011,January,24-01-11,Abu Dhabi,Internal road,100110002120,24,Fourth week,Traffic accident with injuries,Not leaving enough space,1,Street Kaser Al Amwaj (Marina Mall),Street Kaser Al Amwaj (Marina Mall),Commercial area,Double road,night - enough lights,clear,Dry,Not on or around 20 meters,Rear collision,UAE,N,Passenger,Back passenger seat,Minor,11,F,Female,11,8 to 17 years,Jan,UAE,Monday,20:30,PM,Below 18 years,1,Kaser Al Amwaj,Not identified,88,"3868.                   After detection and inspecting the accident site, the following accident chart became clear: The vehicles are coming from the direction of north towards the south, while the vehicles were moving, the two damaged vehicles stopped in the right-hand drive line and the advent of the causing vehicle from the rear, because of the failure to leave enough space between the vehicles by the offending driver, the front of the causing vehicle collided at the rear of the first damaged vehicle, which led to the first damaged vehicle to collide In the front, at the rear of the second damaged vehicle, the accident was charted.",Alkasir Street - Marina Side,No,40,None,2,
Abu Dhabi,Khaldiya Police Station,2011,January,24-01-11,Abu Dhabi,Internal road,100110002120,24,Fourth week,Traffic accident with injuries,Not leaving enough space,1,Street Kaser Al Amwaj (Marina Mall),Street Kaser Al Amwaj (Marina Mall),Commercial area,Double road,night - enough lights,clear,Dry,Not on or around 20 meters,Rear collision,UAE,N,Passenger,Back passenger seat,Minor,8,M,Male,8,8 to 17 years,Jan,UAE,Monday,20:30,PM,Below 18 years,1,Kaser Al Amwaj,Not identified,88,"3869.                   After detection and inspecting the accident site, the following accident chart became clear: The vehicles are coming from the direction of north towards the south, while the vehicles were moving, the two damaged vehicles stopped in the right-hand drive line and the advent of the causing vehicle from the rear, because of the failure to leave enough space between the vehicles by the offending driver, the front of the causing vehicle collided at the rear of the first damaged vehicle, which led to the first damaged vehicle to collide In the front, at the rear of the second damaged vehicle, the accident was charted.",Alkasir Street - Marina Side,No,40,None,2,
Abu Dhabi,Khaldiya Police Station,2011,January,24-01-11,Abu Dhabi,Internal road,100110002120,24,Fourth week,Traffic accident with injuries,Not leaving enough space,1,Street Kaser Al Amwaj (Marina Mall),Street Kaser Al Amwaj (Marina Mall),Commercial area,Double road,night - enough lights,clear,Dry,Not on or around 20 meters,Rear collision,UAE,Y,Driver,Driver's seat,Minor,35,M,Male,35,31 to 45 years,Jan,UAE,Monday,20:30,PM,31 to 45 years,1,Kaser Al Amwaj,Not identified,88,"3870.                   After detection and inspecting the accident site, the following accident chart became clear: The vehicles are coming from the direction of north towards the south, while the vehicles were moving, the two damaged vehicles stopped in the right-hand drive line and the advent of the causing vehicle from the rear, because of the failure to leave enough space between the vehicles by the offending driver, the front of the causing vehicle collided at the rear of the first damaged vehicle, which led to the first damaged vehicle to collide In the front, at the rear of the second damaged vehicle, the accident was charted.",Alkasir Street - Marina Side,Yes,40,None,2,
Abu Dhabi,Khaldiya Police Station,2011,January,25-01-11,Abu Dhabi,Internal road,100110002180,25,Fourth week,Traffic accident with injuries,Speedy without taking road conditions into account,1,Rashed Bin Saeed Al-Maktoum Street (2),Rashed Bin Saeed Al-Maktoum Street (2),Commercial area,Car parking,day,clear,Dry,Not on Intersection,Person run over,Jordan,N,Pedestrian,No passenger,Moderate,6,M,Male,6,1 to 7 years,Jan,Arab States,Tuesday,14:25,PM,Below 18 years,1,Al Wahda,Block 16-1,14,"3871.                   After detection and inspecting the accident site by the policeman who charted the accident, the following issues became clear: The causing vehicle was coming from the west towards the east, and the run-over person was coming from the north towards the south and because of the speed without taking into account the road conditions by the offending driver. The run-over person was attacked without attention from the front of causing vehicle, which led to his fall and stability on the ground. Thus, the accident occurred and the accident was charted",Sheikh Rashid Street behind Naser Restaurant,No,20,"Cross, there's no crosswalk",1,
Abu Dhabi,Shaabiya Police Station,2011,January,26-01-11,Abu Dhabi,Internal road,100110002240,26,Fourth week,Traffic accident with injuries,Bypassing the red traffic light,1,IP97 IntersectionAl Sharqi (Muroor) - Street 25,IP97 IntersectionAl Sharqi (Muroor) - Street 25,Commercial area,Intersection,day,clear,Dry,Perpendicular Intersection,Reciprocal collision,Bangladesh,Y,Driver,Driver's seat,Minor,28,M,Male,28,18 to 30 years,Jan,Asian States,Wednesday,15:00,PM,18 to 30 years,1,Hadbat Al Zafaran,Block 22-1,183,"3872.                   After detection and inspecting the accident site by the policeman who charted the accident, the following issues became clear: While the causing vehicle was coming from the east towards the west reaching Al Shaheen intersection, it was clearing the far left path, it was parked at the intersection because the traffic light was red, when the traffic light of intersection turned into green, the causing vehicle veered to the left without making sure that the arrow traffic light was red and when it reached the middle of the intersection it entered the oncoming vehicle, The damaged vehicle from the west towards the east, taking the middle path, collides the front of the damaged vehicle to the right side of the vehicle that causes the two vehicles to deviate from the force of the collision and veer outside the intersection and stop and the necessary action has been taken. ","Al Zafarana area, Al Muroor Street, Al Shaheen intersection",Yes,80,None,4,
Abu Dhabi,Shaabiya Police Station,2011,January,26-01-11,Abu Dhabi,Internal road,100110002240,26,Fourth week,Traffic accident with injuries,Bypassing the red traffic light,1,IP97 IntersectionAl Sharqi (Muroor) - Street 25,IP97 IntersectionAl Sharqi (Muroor) - Street 25,Commercial area,Intersection,day,clear,Dry,Perpendicular Intersection,Reciprocal collision,Syria,Y,Driver,Driver's seat,Minor,44,F,Female,44,31 to 45 years,Jan,Arab States,Wednesday,15:00,PM,31 to 45 years,1,Hadbat Al Zafaran,Block 22-1,183,"3873.                   After detection and inspecting the accident site by the policeman who charted the accident, the following issues became clear: While the causing vehicle was coming from the east towards the west reaching Al Shaheen intersection, it was clearing the far left path, it was parked at the intersection because the traffic light was red, when the traffic light of intersection turned into green, the causing vehicle veered to the left without making sure that the arrow traffic light was red and when it reached the middle of the intersection it entered the oncoming vehicle, The damaged vehicle from the west towards the east, taking the middle path, collides the front of the damaged vehicle to the right side of the vehicle that causes the two vehicles to deviate from the force of the collision and veer outside the intersection and stop and the necessary action has been taken. ","Al Zafarana area, Al Muroor Street, Al Shaheen intersection",Yes,80,None,4,
Abu Dhabi,Al Madina Police Station,2011,January,28-01-11,Abu Dhabi,Internal road,100110002320,28,Fourth week,Traffic accident with injuries,under influence of intoxicant or narcotic drug,1,Street Mina(3),Street Mina(3),Commercial area,Highway,night - enough lights,clear,Dry,Not on Intersection,Reciprocal collision,Russia,N,Passenger,Front passenger seat,Death,37,F,Female,37,31 to 45 years,Jan,Other,Friday,2:17,PM,31 to 45 years,1,Mina,Block 71-1,30,"3874.                   After detection and inspecting the accident site by the policeman who charted the accident, the following issues became clear: While the causing vehicle was coming from the east towards the west reaching Al Shaheen intersection, it was clearing the far left path, it was parked at the intersection because the traffic light was red, when the traffic light of intersection turned into green, the causing vehicle veered to the left without making sure that the arrow traffic light was red and when it reached the middle of the intersection it entered the oncoming vehicle, The damaged vehicle from the west towards the east, taking the middle path, collides the front of the damaged vehicle to the right side of the vehicle that causes the two vehicles to deviate from the force of the collision and veer outside the intersection and stop and the necessary action has been taken. ","Al Mina area, Old Mazda Street",No,60,None,6,
Abu Dhabi,Shaabiya Police Station,2011,January,28-01-11,Abu Dhabi,Internal road,100110002360,28,Fourth week,Traffic accident with injuries,Negligence and inobservance,1,Street Salam (8),Street Salam (8),Commercial area,Car parking,day,clear,Dry,Not on or around 20 meters,Person run over,Pakistan,N,Pedestrian,No passenger,Moderate,10,F,Female,10,8 to 17 years,Jan,Asian States,Friday,15:26,PM,Below 18 years,1,Markaziya,Block 52-1,12,"3875.                   After detection and inspecting, the following accident chart became clear: While the driver of the causing vehicle was trying to stop in the parking lot and due to her negligence and lack of attention, she pushed her vehicle forward to climb the sidewalk and then hit the front of her vehicle with the body of the run-over child who was at the top of the sidewalk, and the accident resulted in the injury of the run-over girl.",Zayed Al-Awal Street behind Mashreq Bank,No,20,Stop,1,
Abu Dhabi,Al Madina Police Station,2011,January,29-01-11,Abu Dhabi,Internal road,100110002480,29,Fifth week,Traffic accident with injuries,Bypassing the red traffic light,1,IP16 IntersectionKhalifa Bin Zayed - Rashed Bin Saeed Al-Maktoum,IP16 IntersectionKhalifa Bin Zayed - Rashed Bin Saeed Al-Maktoum,Commercial area,Intersection,night - enough lights,clear,Dry,Roundabout,Perpendicular collision,UAE,Y,Driver,Driver's seat,Minor,49,F,Female,49,46 to 60 years,Jan,UAE,Saturday,22:00,PM,46 to 60 years,1,Markaziya Gharb,Block 11-2,112,"3876.                   After detection and inspecting the accident site, the following became evident: While the driver of the causing vehicle was moving in the roundabout from the east to the west, taking the second lane from the left, and bypassing the red traffic light, the driver of the damaged vehicle had entered the roundabout, and they came from the north towards the south to collide with the offender at the angle and the front right side of his vehicle, and so the accident occurred.","Abduljalil Roundabout, Sheikh Rashid Bin Saeed Street",Yes,60,None,4,
Abu Dhabi,Shaabiya Police Station,2011,January,30-01-11,Abu Dhabi,Internal road,100110002560,30,Fifth week,Traffic accident with injuries,Misuse of traffic,1,Hazaa Bin Zayed Al Awal Street (11),Hazaa Bin Zayed Al Awal Street (11),Commercial area,Double road,day,clear,Dry,Not on or around 20 meters,Person run over,India,N,Pedestrian,No passenger,Moderate,32,M,Male,32,31 to 45 years,Jan,Asian States,Sunday,13:34,PM,31 to 45 years,1,Dhafra (Abu Dhabi),Block 55-1,23,"3877.                   After detection and inspecting the accident site by the policeman, the chart of the accident revealed the following: - While the causing vehicle was coming from the south towards the north, moving the right lane on Sheikh Rashid Street, she was surprised to see the vehicle crossing the street in front of it. Because of the lack of estimation of the road users by the driver of the causing vehicle and the pedestrian crossing from a place not designated for pedestrian crossing, the vehicle of the vehicle was hit by the vehicle on the right side of the vehicle to fall on the road. The vehicle stops at the site of the accident and the following has become clear.","Al Dhafra Region, Hazaa Bin Zayed Street",No,60,"Cross, there's no crosswalk",2,
Abu Dhabi,Shaabiya Police Station,2011,January,30-01-11,Abu Dhabi,Internal road,100110003220,30,Fifth week,Traffic accident with injuries,Misuse of traffic,1,Street Zayed Al Awal(7),Street Zayed Al Awal(7),Commercial area,Double road,day,clear,Dry,Not on Intersection,Person run over,Iraq,N,Pedestrian,No passenger,Moderate,18,F,Female,18,18 to 30 years,Jan,Arab States,Sunday,16:10,PM,18 to 30 years,1,Khaldiya,Block 53-2,25,"3878.                   After detection and inspecting by the policeman who charted the accident, the following became evident: - While the vehicle causing the accident was coming from the east towards the west, the lane was traversed by the run-over person who was surprising with the trampled crossing the road in front of it. Because of the lack of estimation of the road users by the driver of the vehicle and the pedestrian crossing from a place not designated for pedestrian crossing, the driver ran over the vehicle from the front of her runaway vehicle to fall on the main street and the vehicle stopped at a location of accident and the actions was taken.",Opposite to Commercial Bank of Dubai on Zayed al-awal Street,No,60,"Cross, there's no crosswalk",4,
Abu Dhabi,Al Madina Police Station,2011,January,30-01-11,Abu Dhabi,Internal road,100110002600,30,Fifth week,Traffic accident with injuries,Speedy without taking road conditions into account,1,Street Baniyas (Najda)(6),Street Baniyas (Najda)(6),Commercial area,Double road,night - enough lights,clear,Dry,Not on or around 20 meters,Person run over,UAE,N,Pedestrian,No passenger,Minor,38,M,Male,38,31 to 45 years,Jan,UAE,Sunday,18:07,PM,31 to 45 years,1,Markaziya,Block 51-1,17,"3879.                   After detection and inspecting the scene of the accident by the policeman, the chart of the accident became clear to him the following: - While the causing vehicle was coming from the east towards the west and the vehicle was crossing the street from the north towards the south and because of the speed without taking into account the edges of the road by the first causing vehicle and the pedestrian crossing from a place not designated for pedestrian crossing, under the influence of alcoholic drink, the vehicle’s body hit the front left corner of the vehicle, according to the chart. The accident happened.","Baniyas Road, Corniche side, before the Royal Meridian Intersection",No,60,"Cross, there's no crosswalk",3,
Abu Dhabi,Al Madina Police Station,2011,January,30-01-11,Abu Dhabi,Internal road,100110002620,30,Fifth week,Traffic accident with injuries,under influence of intoxicant or narcotic drug,1,Street Khalifa Bin Zayed(3),Street Khalifa Bin Zayed(3),Commercial area,Car parking,night - enough lights,clear,Dry,Other,Person run over,Philippines,N,Pedestrian,No passenger,Minor,33,F,Female,33,31 to 45 years,Jan,Asian States,Sunday,22:15,PM,31 to 45 years,1,Markaziya,Block 51-1,28,"3880.                   After detecting and inspecting the accident site, the following became clear: The vehicle that caused the accident before this accident was coming from the west to the east and going for the parking areas coming from the south to the north. Because of the driving of the vehicle under the influence of alcohol for the offending driver, the front of the vehicle hit the vehicle, which led to her injury, and she was taken to the hospital, and so the accident occurred",Liwa Street in front of Lari Exchange,No,20,"Cross, there's no crosswalk",1,
Abu Dhabi,Shaabiya Police Station,2011,January,31-01-11,Abu Dhabi,Internal road,100110002740,31,Fifth week,Traffic accident with injuries,Ignoring road lane,1,Al Sharqi intersection (Muroor) - Mohamed bin Khalifa IP49A,Al Sharqi intersection (Muroor) - Mohamed bin Khalifa IP49A,One level intersection,Double road,day,clear,Dry,Perpendicular Intersection,Side collision,Jordan,Y,Driver,Driver's seat,Severe,18,M,Male,18,18 to 30 years,Jan,Arab States,Monday,5:10,PM,18 to 30 years,1,Al Wahda,Block 17-1,174,"3881.                   After detection and inspecting the accident site by the person who charted the accident, the following became clear: While the causing vehicle was coming from the west towards the east “towards the Al-Jarida intersection” moving the middle lane on the right side, I was surprised before it reached the intersection with the deviation of the causing vehicle in front of it, as the causing vehicle was coming from the same passable direction on the far right to hit the front of the causing vehicle on the left side of the damaged vehicle to push the causing vehicle from The force of the collision stabilizes over the triangle at the angle of intersection and the damaged vehicle settles at the site of the accident, and the necessary measures have been taken.","Al-Wahda area, Al Muroor Street, before Al Jarida intersection, outward",Yes,60,None,4,
Abu Dhabi,Shaabiya Police Station,2011,January,31-01-11,Abu Dhabi,Internal road,100110002740,31,Fifth week,Traffic accident with injuries,Ignoring road lane,1,Al Sharqi intersection (Muroor) - Mohamed bin Khalifa IP49A,Al Sharqi intersection (Muroor) - Mohamed bin Khalifa IP49A,One level intersection,Double road,day,clear,Dry,Perpendicular Intersection,Side collision,India,Y,Driver,Driver's seat,Severe,61,M,Male,61,Above 60,Jan,Asian States,Monday,5:10,PM,Above 60,1,Al Wahda,Block 17-1,174,"3882.                   After detection and inspecting the accident site by the person who charted the accident, the following became clear: While the causing vehicle was coming from the west towards the east “towards the Al-Jarida intersection” moving the middle lane on the right side, I was surprised before it reached the intersection with the deviation of the causing vehicle in front of it, as the causing vehicle was coming from the same passable direction on the far right to hit the front of the causing vehicle on the left side of the damaged vehicle to push the causing vehicle from The force of the collision stabilizes over the triangle at the angle of intersection and the damaged vehicle settles at the site of the accident, and the necessary measures have been taken.","Al-Wahda area, Al Muroor Street, before Al Jarida intersection, outward",Yes,60,None,4,
Abu Dhabi,Shaabiya Police Station,2011,January,31-01-11,Abu Dhabi,Internal road,100110002720,31,Fifth week,Traffic accident with injuries,Ignoring traffic lights,1,Street Zayed Al Awal(7),Street Zayed Al Awal(7),Commercial area,Intersection,day,dusty,Dry,Perpendicular Intersection,Side collision,Pakistan,N,Pedestrian,No passenger,Severe,39,M,Male,39,31 to 45 years,Jan,Asian States,Monday,10:30,AM,31 to 45 years,1,Madinat Zayed (Abu Dhabi),Block 34-1,25,"3883.                   After detection and inspection by the accident chart, the following is revealed: - The causing vehicle is coming from the north to the south direction, the damaged vehicle is coming from the east to the west direction, while the two vehicles are moving and upon their arrival at the intersection and because of the lack of clearance by the driver who entered the intersection and collided with the front of the causing vehicle on the left side of the damaged vehicle and from the force of the collision the damaged vehicle deteriorated and separated The left rear tire falls on the driver and accordingly the accident was charted.",Behind Sands Hotel,No,40,Stop,2,
Abu Dhabi,Khaldiya Police Station,2011,January,31-01-11,Abu Dhabi,Internal road,100110002700,31,Fifth week,Traffic accident with injuries,Misuse of traffic,1,Street Zayed Al Awal(7),Street Zayed Al Awal(7),Park,Double road,day,dusty,Dry,Not on Intersection,Person run over,Pakistan,N,Pedestrian,No passenger,Severe,8,F,Female,8,8 to 17 years,Jan,Asian States,Monday,12:30,PM,Below 18 years,1,Khaldiya,Block 53-2,25,"3884.                   After detection and inspecting the accident site, the following accident chart became clear: While the causing vehicle was coming from the west to the east, and in the case of moving forward, the path was on the far right and the road was taken from the north towards the south, and because of the lack of estimation of the road users by the vehicle that caused the collision of the front left corner of the vehicle with the body of the vehicle, and according to the chart, the accident occurred.","Al Khalidiya Area, a side street off Zayed al Awal Street",No,40,"Cross, there's no crosswalk",2,
Abu Dhabi,Al Madina Police Station,2011,February,01-02-11,Abu Dhabi,Internal road,100110002760,1,First week,Traffic accident with injuries,Ignoring road lane,1,Street Hamdan Bin Mohamed(5),Street Hamdan Bin Mohamed(5),Commercial area,Single road,night - enough lights,clear,Dry,Not on or around 20 meters,Side collision,Bangladesh,N,Driver,Driver's seat,Moderate,28,M,Male,28,18 to 30 years,Feb,Asian States,Tuesday,2:30,PM,18 to 30 years,1,Markaziya,Block 52-1,26,"3885.                   After detection and inspection by the accident charted, the following is revealed: -  The two vehicles are coming from the north to the south direction, the damaged vehicle is in the front and behind the damaged vehicle, while the two vehicles are in motion, and because of the failure to adhere to the obligatory driving line by the offending driver while overtaking the damaged vehicle, then the causing vehicle collides with the right side of the damaged vehicle, and accordingly the accident was charted.",Behind Hamdan Center and near the Novotel Hotel,No,40,None,1,
Abu Dhabi,Al Madina Police Station,2011,February,01-02-11,Abu Dhabi,Internal road,100110002840,1,First week,Traffic accident with injuries,Misuse of traffic,1,Street Corniche(1),Street Corniche(1),Hospital,Car parking,day,clear,Dry,Not on Intersection,Person run over,India,N,Pedestrian,No passenger,Moderate,58,M,Male,58,46 to 60 years,Feb,Asian States,Tuesday,10:17,AM,46 to 60 years,1,Markaziya,Block 11-1,29,"3886.                   While the causing vehicle was coming from the west towards the east, and in parking lots while it was moving forward, and the vehicle was in a forward state, the run-over person was moving forward and because of the lack of estimation of road users, the run-over accident occurred causing the harm. The accident resulted in material damage to the vehicle causing the injury to the vehicle. With moderate injury for the run-over person, the scene of the accident was charted and necessary action was taken.  ",Corniche Street opposite the Ministry of Energy,No,60,Cross but not on the crosswalk ,2,
Abu Dhabi,Khaldiya Police Station,2011,February,03-02-11,Abu Dhabi,Internal road,100110003260,3,First week,Traffic accident with injuries,Speedy without taking road conditions into account,1,Street Sultan Bin Zayed Al Awal (32),Street Sultan Bin Zayed Al Awal (32),School,Car parking,day,clear,Dry,Not on or around 20 meters,Person run over,UAE,N,Pedestrian,No passenger,Minor,8,M,Male,8,8 to 17 years,Feb,UAE,Thursday,14:30,PM,Below 18 years,1,Al Butain,Block 74-2,41,"3887.                   After detection and inspecting the accident site, the following became clear: The vehicle causing the vehicle was parked in Al Rawafed private school in Al Bateen area, and while the vehicle was passing through the school, the vehicle causing the front of it collided with the vehicle. The accident resulted in a minor injury to the vehicle who received the necessary treatment and left the hospital in a minor general condition. Note: After being run over, the offending driver left the scene of the accident, and the follow-up was seized and necessary action was taken.","parking at Al Rawafed Private School, Al Bateen area, side street off Sheikh Sultan Bin Zayed al awal Street",No,40,Cross but not on the crosswalk ,1,
Abu Dhabi,Khaldiya Police Station,2011,February,03-02-11,Abu Dhabi,Internal road,100110003280,3,First week,Traffic accident with injuries,Entering main road without traffic clearance,1,Street Al Nahyan (26),Street Al Nahyan (26),Commercial area,Highway,day,clear,Dry,Not on Intersection,Side collision,UAE,N,Driver,Driver's seat,Moderate,17,M,Male,17,8 to 17 years,Feb,UAE,Thursday,6:00,AM,Below 18 years,1,Rawdah,Block 57-2,42,"3888.                   After detection and inspecting the accident site, the following accident chart became clear: The causing vehicle was coming from the bus stop and was crossing the street from the south towards the north with a ski boot, and with the advent of the damaged vehicle from the west towards the east, the path was passed on the far right, which led to the collision of the front of the damaged vehicle with the body of the offending driver.","Al Rawda area, King Khalid Bin Abdul Aziz Street, opposite the Abu Dhabi Cooperative Society",No,60,None,3,
Abu Dhabi,Shaabiya Police Station,2011,February,03-02-11,Abu Dhabi,Internal road,100110003200,3,First week,Traffic accident with injuries,Speedy without taking road conditions into account,1,Al Sharqi Street (Muroor) (4),Al Sharqi Street (Muroor) (4),Other,Single road,night - enough lights,clear,Dry,Not on Intersection,Person run over,UAE,N,Pedestrian,No passenger,Minor,13,M,Male,13,8 to 17 years,Feb,UAE,Thursday,6:15,AM,Below 18 years,1,Markaziya,Block 31-1,13,"3889.                   After detection and inspection by the policeman, the chart of the accident became clear the following: -  While the causing vehicle was coming from the south towards the north on a secondary street passing the right lane next to the Al-Jazirah club, the driver of the vehicle was surprised by a child crossing the street in front of him coming from the east towards the west and because of the speed without taking into account the road conditions from Before the driver of the vehicle ran over the front of the vehicle who was run over, the vehicle was run over the road, and the vehicle stopped at the site of the accident, and the necessary measures were taken.","Al Jazeera Club, Al Dhafra side Street",No,40,"Cross, there's no crosswalk",2,
Abu Dhabi,Khaldiya Police Station,2011,February,03-02-11,Abu Dhabi,Internal road,100110003060,3,First week,Traffic accident with injuries,Speedy without taking road conditions into account,1,Street Arabian Gulf(30),Street Arabian Gulf(30),Govt. authority,Highway,day,clear,Dry,Half Perpendicular Intersection,deterioration,India,Y,Driver,Driver's seat,Severe,29,M,Male,29,18 to 30 years,Feb,Asian States,Thursday,8:50,AM,18 to 30 years,1,Sports City,Block 28-2,16,"3890.                   After detection and inspecting the accident site, the following became clear: The vehicle causing the vehicle was coming from the east towards the west and moving to the right lane, and because of the speed without taking into account the road conditions, the front of the vehicle collided with the pavement and from the force of the collision the causing vehicle deteriorated. The accident resulted in the injury of the driver causing material damage to the vehicle and the sidewalk. The site of the accident was examined and necessary action was taken.","Al Khaleej Al Arabi Street, entrance to the legal judiciary",Yes,100,None,5,
Abu Dhabi,Shaabiya Police Station,2011,February,03-02-11,Abu Dhabi,Internal road,100110003040,3,First week,Traffic accident with injuries,Bypassing the red traffic light,1,Al Sharqi Street (Muroor) (4),Al Sharqi Street (Muroor) (4),One level intersection,Intersection,day,clear,Dry,Perpendicular Intersection,Reciprocal collision,Egypt,Y,Driver,Driver's seat,Minor,28,M,Male,28,18 to 30 years,Feb,Arab States,Thursday,15:55,PM,18 to 30 years,1,Hadbat Al Zafaran,Block 40-1,13,"3891.                   After inspecting and identifying the location of the accident by the policeman, the chart of the accident revealed the following: - While the damaged vehicle was coming from the east towards the west, taking the left lane from the center towards the Pakistani intersection, and upon reaching the intersection and bypassing the red traffic light, it was surprising that it entered the damaged vehicle that was coming from the west towards the east, moving towards the far left, veering towards the left to hit the front of the causing vehicle to the right side of the vehicle Affected vehicles to stop the accident site and take necessary action","Zaafarana area, Al Sharqi Street, Al Muroor, Pakistaniya intersection",Yes,80,None,5,
Abu Dhabi,Shaabiya Police Station,2011,February,03-02-11,Abu Dhabi,Internal road,100110003101,3,First week,Traffic accident with injuries,Bypassing the red traffic light,1,IP75D IntersectionAl Sharqi (Muroor) - Street 31,IP75D IntersectionAl Sharqi (Muroor) - Street 31,Commercial area,Intersection,night - enough lights,clear,Dry,Perpendicular Intersection,Perpendicular collision,Pakistan,Y,Driver,Driver's seat,Minor,23,M,Male,23,18 to 30 years,Feb,Asian States,Thursday,19:10,PM,18 to 30 years,1,Hadbat Al Zafaran,Block 25-1,186,"3892.                   After detection and inspection by the policeman, the accident chart became clear:  While the causing vehicle was coming from the east towards the west, moving on the far left, and upon entering the intersection and bypassing the red traffic light, the damaged vehicle that was coming from the west towards the east, moving on the far right, collided with the right front corner. For the damaged vehicle at the rear right side of the causing vehicle, the accident resulted in the deteriorating vehicle deteriorating amid its capture and the damaged vehicle stabilizing at the site of the accident and the necessary measures were taken.","Al Muroor Street, Al-Haraj intersection formerly, with intersection 31",Yes,60,None,4,
